date,experiment,library,antibody,concentration,concentration_units,group,selection,sample,frac_escape,cells_sorted,R1
201106,expt_68-73,lib1,none,0,ng_per_mL,Vir,reference,expt_68-73-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_73_lib1_ref*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_73_lib1_ref*.fastq.gz
201106,expt_68-73,lib2,none,0,ng_per_mL,Vir,reference,expt_68-73-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_73_lib2_ref*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_73_lib2_ref*.fastq.gz
201106,expt_71,lib1,S2X259,59,ng_per_mL,Vir,escape,expt_71-S2X259-59-escape,0.068,700753,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_lib2*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_lib2*.fastq.gz
201106,expt_71,lib2,S2X259,59,ng_per_mL,Vir,escape,expt_71-S2X259-59-escape,0.064,600000,/shared/ngs/illumina/tstarr/201123_D00300_1119_BHJKJTBCX3/Unaligned/Project_tstarr/expt68_homolog*.fastq.gz; /shared/ngs/illumina/tstarr/201116_D00300_1113_BHJKKFBCX3/Unaligned/Project_tstarr/expt68_homolog*.fastq.gz
210526,expt_130,lib1,none,0,ng_per_mL,Vir,reference,expt_130-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/210603_D00300_1246_BHLJ3FBCX3/Unaligned/Project_tstarr/expt_130_lib1_ref*.fastq.gz
210526,expt_130,lib2,none,0,ng_per_mL,Vir,reference,expt_130-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/210603_D00300_1246_BHLJ3FBCX3/Unaligned/Project_tstarr/expt_130_lib2_ref*.fastq.gz
210526,expt_130,lib1,S2K146,63,ng_per_mL,Vir,escape,expt_130-S2K146-63-escape,0.071,816032,/shared/ngs/illumina/tstarr/210603_D00300_1246_BHLJ3FBCX3/Unaligned/Project_tstarr/expt130_lib1_Abneg*.fastq.gz
210526,expt_130,lib2,S2K146,63,ng_per_mL,Vir,escape,expt_130-S2K146-63-escape,0.063,698156,/shared/ngs/illumina/tstarr/210603_D00300_1246_BHLJ3FBCX3/Unaligned/Project_tstarr/expt130_lib2_Abneg*.fastq.gz
211105,expt_135-139,lib1,none,0,ng_per_mL,Linfa_NUS,reference,expt_135-139-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt_135-9_lib1_ref*.fastq.gz
211105,expt_135-139,lib2,none,0,ng_per_mL,Linfa_NUS,reference,expt_135-139-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt_135-9_lib2_ref*.fastq.gz
211108,expt_140-148,lib1,none,0,ng_per_mL,Linfa_NUS,reference,expt_140-148-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt_140-8_lib1_ref*.fastq.gz
211108,expt_140-148,lib2,none,0,ng_per_mL,Linfa_NUS,reference,expt_140-148-none-0-reference,NA,NA,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt_140-8_lib2_ref*.fastq.gz
211105,expt_135,lib1,mAb1,139,ng_per_mL,Linfa_NUS,escape,expt_135-mAb1-139-escape,0.077,842165,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt135_lib1_Abneg*.fastq.gz
211105,expt_135,lib2,mAb1,139,ng_per_mL,Linfa_NUS,escape,expt_135-mAb1-139-escape,0.079,851124,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt135_lib2_Abneg*.fastq.gz
211105,expt_136,lib1,mAb2,232,ng_per_mL,Linfa_NUS,escape,expt_136-mAb2-232-escape,0.057,617689,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt136_lib1_Abneg*.fastq.gz
211105,expt_136,lib2,mAb2,232,ng_per_mL,Linfa_NUS,escape,expt_136-mAb2-232-escape,0.055,614856,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt136_lib2_Abneg*.fastq.gz
211105,expt_137,lib1,mAb3,234,ng_per_mL,Linfa_NUS,escape,expt_137-mAb3-234-escape,0.11,1190414,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt137_lib1_Abneg*.fastq.gz
211105,expt_137,lib2,mAb3,234,ng_per_mL,Linfa_NUS,escape,expt_137-mAb3-234-escape,0.118,1253385,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt137_lib2_Abneg*.fastq.gz
211105,expt_138,lib1,mAb4,462,ng_per_mL,Linfa_NUS,escape,expt_138-mAb4-462-escape,0.057,604056,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt138_lib1_Abneg*.fastq.gz
211105,expt_138,lib2,mAb4,462,ng_per_mL,Linfa_NUS,escape,expt_138-mAb4-462-escape,0.059,622698,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt138_lib2_Abneg*.fastq.gz
211105,expt_139,lib1,mAb5,1694,ng_per_mL,Linfa_NUS,escape,expt_139-mAb5-1694-escape,0.206,2222036,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt139_lib1_Abneg*.fastq.gz
211105,expt_139,lib2,mAb5,1694,ng_per_mL,Linfa_NUS,escape,expt_139-mAb5-1694-escape,0.214,2245393,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt139_lib2_Abneg*.fastq.gz
211108,expt_140,lib1,mAb6,584,ng_per_mL,Linfa_NUS,escape,expt_140-mAb6-584-escape,0.1,1002651,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt140_lib1_Abneg*.fastq.gz
211108,expt_140,lib2,mAb6,584,ng_per_mL,Linfa_NUS,escape,expt_140-mAb6-584-escape,0.101,1011280,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt140_lib2_Abneg*.fastq.gz
211108,expt_141,lib1,mAb7,103,ng_per_mL,Linfa_NUS,escape,expt_141-mAb7-103-escape,0.171,1959806,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt141_lib1_Abneg*.fastq.gz
211108,expt_141,lib2,mAb7,103,ng_per_mL,Linfa_NUS,escape,expt_141-mAb7-103-escape,0.18,1799047,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt141_lib2_Abneg*.fastq.gz
211108,expt_142,lib1,mAb8,2000,ng_per_mL,Linfa_NUS,escape,expt_142-mAb8-2000-escape,0.142,1421301,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt142_lib1_Abneg*.fastq.gz
211108,expt_142,lib2,mAb8,2000,ng_per_mL,Linfa_NUS,escape,expt_142-mAb8-2000-escape,0.136,1374728,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt142_lib2_Abneg*.fastq.gz
211108,expt_143,lib1,mAb9,154,ng_per_mL,Linfa_NUS,escape,expt_143-mAb9-154-escape,0.038,429649,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt143_lib1_Abneg*.fastq.gz
211108,expt_143,lib2,mAb9,154,ng_per_mL,Linfa_NUS,escape,expt_143-mAb9-154-escape,0.04,400943,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt143_lib2_Abneg*.fastq.gz
211108,expt_144,lib1,mAb10,147,ng_per_mL,Linfa_NUS,escape,expt_144-mAb10-147-escape,0.046,467946,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt144_lib1_Abneg*.fastq.gz
211108,expt_144,lib2,mAb10,147,ng_per_mL,Linfa_NUS,escape,expt_144-mAb10-147-escape,0.044,441191,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt144_lib2_Abneg*.fastq.gz
211108,expt_145,lib1,mAb11,125,ng_per_mL,Linfa_NUS,escape,expt_145-mAb11-125-escape,0.054,538149,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt145_lib1_Abneg*.fastq.gz
211108,expt_145,lib2,mAb11,125,ng_per_mL,Linfa_NUS,escape,expt_145-mAb11-125-escape,0.044,446148,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt145_lib2_Abneg*.fastq.gz
211108,expt_146,lib1,mAb12,267,ng_per_mL,Linfa_NUS,escape,expt_146-mAb12-267-escape,0.053,536557,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt146_lib1_Abneg*.fastq.gz
211108,expt_146,lib2,mAb12,267,ng_per_mL,Linfa_NUS,escape,expt_146-mAb12-267-escape,0.053,532129,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt146_lib2_Abneg*.fastq.gz
211108,expt_147,lib1,mAb13,147,ng_per_mL,Linfa_NUS,escape,expt_147-mAb13-147-escape,0.043,430775,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt147_lib1_Abneg*.fastq.gz
211108,expt_147,lib2,mAb13,147,ng_per_mL,Linfa_NUS,escape,expt_147-mAb13-147-escape,0.047,472865,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt147_lib2_Abneg*.fastq.gz
211108,expt_148,lib1,mAb14,256,ng_per_mL,Linfa_NUS,escape,expt_148-mAb14-256-escape,0.137,1384538,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt148_lib1_Abneg*.fastq.gz
211108,expt_148,lib2,mAb14,256,ng_per_mL,Linfa_NUS,escape,expt_148-mAb14-256-escape,0.148,1506071,/shared/ngs/illumina/tstarr/211120_VH00319_112_AAAN3C2M5/Unaligned/Project_tstarr/expt148_lib2_Abneg*.fastq.gz